profile,seed,chain_size,variant,eta,n_damped,base_damping_trace,slow_mode_index,slow_mode_frequency,first_order_decay_coefficient,first_order_predicted_decay_rate,exact_decay_rate,relative_prediction_error,exact_free_residual
paper,17,33,single_terminal,0.03,1,0.7,32,2.073613403684895,2.9377879799722814e-05,8.813363939916844e-07,8.808588338876655e-07,0.0005418590532225155,1.6111613022604528e-16
paper,17,33,paper_boundary,0.0001,11,0.6999999999999998,28,2.0119890701764356,0.004357411096151879,4.3574110961518797e-07,4.357411090283314e-07,1.3468009954086751e-09,1.6111613022604528e-16
paper,17,33,paper_boundary,0.0003,11,0.6999999999999998,28,2.0119890701764356,0.004357411096151879,1.3072233288455636e-06,1.307223311985961e-06,1.2897262601336873e-08,1.6111613022604528e-16
paper,17,33,paper_boundary,0.001,11,0.6999999999999998,28,2.0119890701764356,0.004357411096151879,4.357411096151879e-06,4.357410468752709e-06,1.4398438802318017e-07,1.6111613022604528e-16
paper,17,33,paper_boundary,0.003,11,0.6999999999999998,28,2.0119890701764356,0.004357411096151879,1.3072233288455637e-05,1.3072216343862353e-05,1.2962278832141958e-06,1.6111613022604528e-16
paper,17,33,paper_boundary,0.01,11,0.6999999999999998,28,2.0119890701764356,0.004357411096151879,4.3574110961518795e-05,4.357348339029121e-05,1.4402387420763805e-05,1.6111613022604528e-16
paper,17,33,paper_boundary,0.03,11,0.6999999999999998,28,2.0119890701764356,0.004357411096151879,0.00013072233288455637,0.00013070539016396543,0.0001296084625869228,1.6111613022604528e-16
paper,17,33,uniform_trace,0.0001,33,0.6999999999999998,14,1.3327935191676994,0.010606060606060591,1.060606060606059e-06,1.0606060605235778e-06,7.776809751531415e-11,1.6111613022604528e-16
paper,17,33,uniform_trace,0.0003,33,0.6999999999999998,14,1.3327935191676994,0.010606060606060591,3.181818181818177e-06,3.1818181817421435e-06,2.389623939805418e-11,1.6111613022604528e-16
paper,17,33,uniform_trace,0.001,33,0.6999999999999998,14,1.3327935191676994,0.010606060606060591,1.0606060606060592e-05,1.0606060605946646e-05,1.0743504532806978e-11,1.6111613022604528e-16
paper,17,33,uniform_trace,0.003,33,0.6999999999999998,14,1.3327935191676994,0.010606060606060591,3.181818181818177e-05,3.181818181806504e-05,3.668804626419391e-12,1.6111613022604528e-16
paper,17,33,uniform_trace,0.01,33,0.6999999999999998,14,1.3327935191676994,0.010606060606060591,0.00010606060606060591,0.00010606060606052257,7.858529675211908e-13,1.6111613022604528e-16
paper,17,33,uniform_trace,0.03,33,0.6999999999999998,14,1.3327935191676994,0.010606060606060591,0.0003181818181818177,0.0003181818181817348,2.606731794704438e-13,1.6111613022604528e-16
paper,29,3,single_terminal,0.0001,1,0.7,2,1.8990507311858489,0.049528138796398107,4.952813879639811e-06,4.952813869800441e-06,1.986622237292884e-09,1.5769771845813174e-16
paper,29,3,single_terminal,0.0003,1,0.7,2,1.8990507311858489,0.049528138796398107,1.4858441638919431e-05,1.4858441369686214e-05,1.8119882524366994e-08,1.5769771845813174e-16
paper,29,3,single_terminal,0.001,1,0.7,2,1.8990507311858489,0.049528138796398107,4.9528138796398105e-05,4.952812882145683e-05,2.0139947752426845e-07,1.5769771845813174e-16
