profile,seed,chain_size,beta,requested_tolerance,plus_converged,minus_converged,both_converged,plus_steps,minus_steps,gradient_cosine,dynamic_vs_implicit_relative_error,dynamic_vs_centered_relative_error,exact_truncation_relative_error,state_error_bound_relative,residual_bound_relative,residual_relaxation_bound_relative,state_error_bound_holds,residual_bound_holds,plus_state_frobenius_error,minus_state_frobenius_error,plus_parameter_map_lipschitz,minus_parameter_map_lipschitz,plus_endpoint_curvature,minus_endpoint_curvature,minimum_endpoint_curvature,global_strong_convexity_lower_bound,floor_only_strong_convexity_margin,achieved_max_residual,achieved_max_velocity
paper,17,5,0.035,0.001,True,True,True,375,375,0.9999680048318283,0.010957997859344027,0.01012235472121595,0.002494800575434768,0.031834395664610236,0.26750012798243417,0.26500532740699945,True,True,0.001737568951866009,0.0016950755975169898,0.3389515391425845,0.3389059952159927,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,0.0006979874407771487,0.0006931433935912625
paper,17,5,0.02,0.001,True,True,True,325,325,0.9999382357237762,0.013923362415202731,0.014144239554440854,0.0008153138410627068,0.04689950990434827,0.3622891112751174,0.3614737974340547,True,True,0.0016406660560858042,0.0014403050557121094,0.33894201271548197,0.3389160504744572,0.24210624721773777,0.2346449712766659,0.2346449712766659,0.19291398515282807,0.030000000000000002,0.000589770796693455,0.0006323909090991292
paper,17,5,0.01,0.001,True,True,True,250,250,0.9999234755217897,0.020217531940421182,0.02028822776588312,0.00020389000182897445,0.10283949926677903,0.6681042197099283,0.6679003297080993,True,True,0.0017157614924795295,0.001715112526785655,0.3389355330415535,0.33892251237738485,0.24028105774838834,0.23657554129323619,0.23657554129323619,0.20291398515282805,0.04,0.0005706498789164676,0.0007142744814253064
paper,17,5,0.005,0.001,True,True,True,175,175,0.9966373823235426,0.14381795815654125,0.14383830279577944,5.0976331423677755e-05,0.23309751595944622,1.0238483292677685,1.0237973529363449,True,True,0.0019432162717699113,0.001951884064665497,0.3389335646362744,0.33892562486700717,0.23937355713967318,0.23755062125472493,0.23755062125472493,0.20791398515282805,0.045000000000000005,0.0004477803610613709,0.0006000382377710695
paper,17,5,0.12,0.0003,True,True,True,600,650,0.9997174836518771,0.028698274293647727,0.00037487962140525115,0.028874672901216168,0.030921511054978857,0.0772873157240522,0.048412642822836034,True,True,0.0005646281540375699,0.000256369454642643,0.339001273322758,0.338843790912055,0.26006024984229775,0.21499443891201217,0.21499443891201217,0.09291398515282806,-0.06999999999999999,0.00023775552360986077,0.00019509657771289552
paper,17,5,0.08,0.0003,True,True,True,600,600,0.9999441050549062,0.013190827037339451,0.0005174824520186129,0.012960947335462259,0.015318952370682211,0.05313160660991627,0.04017065927445401,True,True,0.0003918453303620198,0.00023871833076526992,0.33897870514354167,0.3388732066091559,0.2530515906494312,0.2229233400902464,0.2229233400902464,0.13291398515282804,-0.03,0.0001849280184482626,0.0001756257175823679
paper,17,5,0.05,0.0003,True,True,True,525,550,0.9999914730288805,0.005241232444041147,0.0008702882949800166,0.005084665862326496,0.009464314251968883,0.06982378043784496,0.06473911457551845,True,True,0.00045488194378704854,0.00027711155875024347,0.3389608307150527,0.3388948100193954,0.2476089737096455,0.22885618912218292,0.22885618912218292,0.16291398515282807,0.0,0.00022551180875723066,0.0001775237781412118
paper,17,5,0.035,0.0003,True,True,True,500,500,0.9999971627261369,0.003199980146559227,0.001549008013292076,0.002494800575434768,0.008514603180554118,0.08177472730441902,0.07927992672898426,True,True,0.00040670897439954714,0.00029758367009580645,0.3389515391425845,0.33890536084998085,0.24485768212557313,0.23173421083909534,0.23173421083909534,0.17791398515282805,0.015,0.00023902201968806525,0.00017579463904107638
paper,17,5,0.02,0.0003,True,True,True,450,450,0.9999959019288538,0.0032118287845929222,0.002795247015821169,0.0008153138410627068,0.011008995858557958,0.12247502924886024,0.12165971540779752,True,True,0.00040908986267398407,0.00027240818923398566,0.33894201271548197,0.33891569825871576,0.24210624721773777,0.2346449712766659,0.2346449712766659,0.19291398515282807,0.030000000000000002,0.00019703756758447446,0.00022523471712167828
paper,17,5,0.01,0.0003,True,True,True,375,375,0.9999628204819285,0.01162730013965773,0.011571705510771427,0.00020389000182897445,0.0299906167689223,0.23950937524639843,0.23930548524456943,True,True,0.0005015947132472994,0.0004941073091671908,0.3389355330415535,0.33892257170722967,0.24028105774838834,0.23657554129323619,0.23657554129323619,0.20291398515282805,0.04,0.0002042326391686946,0.0002464172768318272
