dataset,seed,chain_size,support_width,damped_fraction,damping_trace,damping_per_node,budget_steps,physical_time,dt,dynamic_vs_implicit_relative_error,dynamic_vs_exact_centered_relative_error,exact_centered_vs_implicit_relative_error,dynamic_vs_implicit_cosine,plus_state_relative_error,minus_state_relative_error,plus_residual,minus_residual,plus_velocity_norm,minus_velocity_norm,mean_dissipated_energy_two_phases,minimum_eigenspace_visibility,median_eigenspace_visibility,minimum_spectral_decay_rate,median_spectral_decay_rate,all_modes_observable,free_exact_residual,plus_exact_residual,minus_exact_residual
moons,43,17,6,0.35294117647058826,5.0,0.8333333333333334,16000,1600.0,0.1,0.8031356829961724,0.016597451434910728,0.8029508940114564,0.7767226846338103,2.273526733664987e-06,2.3851183268676256e-06,1.1491636530470115e-06,1.184026905441955e-06,2.4297849123685736e-06,2.435197951257646e-06,0.0018921033358741362,0.5012429894250252,0.5050088766289498,0.002172073604205016,0.002277153062418852,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,6,0.35294117647058826,5.0,0.8333333333333334,40000,4000.0,0.1,0.802950884150933,4.966334798866694e-06,0.8029508940114564,0.7752540563235731,6.289137763678698e-10,6.300596136985155e-10,2.3768183492275154e-09,2.3349254695842303e-09,8.69430254228165e-10,8.630436550179856e-10,0.0018921033376729387,0.5012429894250252,0.5050088766289498,0.002172073604205016,0.002277153062418852,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,6,0.35294117647058826,5.0,0.8333333333333334,80000,8000.0,0.1,0.8029508940114961,8.283106411850726e-11,0.8029508940114564,0.775255197529307,3.8857525355340396e-14,3.9470928617884794e-14,2.9605943673032034e-13,2.997062397694848e-13,1.6967935736532444e-13,1.6392604741783486e-13,0.0018921033376729387,0.5012429894250252,0.5050088766289498,0.002172073604205016,0.002277153062418852,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,6,0.35294117647058826,5.0,0.8333333333333334,160000,16000.0,0.1,0.8029508940114272,2.2783760144976015e-12,0.8029508940114564,0.7752551975214025,3.7119257688371726e-16,6.239609382490936e-16,4.931231820286284e-16,3.794040915684369e-16,6.423907109734603e-16,4.518080412161643e-16,0.0018921033376729387,0.5012429894250252,0.5050088766289498,0.002172073604205016,0.002277153062418852,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,8,0.47058823529411764,5.0,0.625,1000,100.0,0.1,7.297295032892969,7.254450414237808,0.8029508940114564,-0.6162745533351485,0.0007880510369335132,0.0008207783368914717,0.00022143793401670456,0.00023175752289172202,0.00034813501628056757,0.00034503208469695594,0.0018919489300464603,0.5511791031183104,0.5575897444503277,0.002678752591849687,0.00281811084522382,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,8,0.47058823529411764,5.0,0.625,4000,400.0,0.1,1.2991815839690561,1.023236587325323,0.8029508940114564,0.08739207041726944,8.320278720402444e-05,8.63966294312516e-05,3.6063022835429026e-05,3.714848037596355e-05,5.330266006765554e-05,5.9686697643999046e-05,0.0018921010583603957,0.5511791031183104,0.5575897444503277,0.002678752591849687,0.00281811084522382,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,8,0.47058823529411764,5.0,0.625,16000,1600.0,0.1,0.8029519896440807,0.0005429157108922768,0.8029508940114564,0.7753600288995439,5.288406052858792e-08,5.1409480218838024e-08,1.0618787386513601e-07,1.0397394252627045e-07,4.8683591694753e-08,5.320199746572728e-08,0.0018921031319614852,0.5511791031183104,0.5575897444503277,0.002678752591849687,0.00281811084522382,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,8,0.47058823529411764,5.0,0.625,40000,4000.0,0.1,0.8029508940274434,6.485604656288818e-08,0.8029508940114564,0.7752551993935115,2.6108945769766367e-11,2.538463568998988e-11,1.6148052699997257e-10,1.5643250828927056e-10,6.649196483323121e-11,6.586151314432569e-11,0.001892103131964037,0.5511791031183104,0.5575897444503277,0.002678752591849687,0.00281811084522382,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,8,0.47058823529411764,5.0,0.625,80000,8000.0,0.1,0.8029508940114244,1.6915752809842095e-12,0.8029508940114564,0.7752551975211642,2.773857372986971e-16,6.054176505227528e-16,3.609728326052323e-16,6.961700563376758e-16,6.002281146062664e-16,6.548402157341106e-16,0.001892103131964037,0.5511791031183104,0.5575897444503277,0.002678752591849687,0.00281811084522382,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,8,0.47058823529411764,5.0,0.625,160000,16000.0,0.1,0.8029508940114244,1.4089552023643501e-12,0.8029508940114564,0.7752551975211798,3.142818314879302e-16,6.073991798162524e-16,3.939484064746588e-16,4.907075556737651e-16,4.896900289062444e-16,5.465703948197572e-16,0.001892103131964037,0.5511791031183104,0.5575897444503277,0.002678752591849687,0.00281811084522382,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,17,1.0,5.0,0.29411764705882354,1000,100.0,0.1,0.8029514558575859,0.00015110684616465847,0.8029508940114564,0.7752116612001984,1.9866206875270333e-08,2.2231301900605418e-08,1.0834204442842096e-08,1.0917922248914702e-08,1.3932930411227939e-08,1.6354706493044543e-08,0.001892102279179798,0.9999999999999994,0.9999999999999996,0.14705882352941135,0.14705882352941152,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
